,lfd,Ort,GID,LONG,LAT,grid_chr,grid_num,romanNr,trayNr,count,n_places,new
659,1040,Bösenbiesen (Boesenbiesen),27861,7.56377,48.22957,s',12,III,12,13,1,27861
668,1050,Mackenheim,34134,7.56598,48.18437,s',12,III,12,13,1,34134
673,1049,Boozheim (Bootzheim),32955,7.57052,48.18862,s',12,III,12,13,1,32955
680,1045,Artolsheim,25205,7.57377,48.20951,s',12,III,12,13,1,25205
681,1041,Schwobsheim,23990,7.57481,48.2329,s',12,III,12,13,1,23990
708,1042,Richtolsheim,30962,7.59489,48.2251,s',12,III,12,13,1,30962
743,1043,Saasenheim,31560,7.61664,48.23405,s',12,III,12,13,1,31560
796,1044,Schönau (Schoenau),31024,7.64715,48.22339,s',12,III,12,13,1,31024
838,1053,Weisweil,127926,7.67618,48.19761,s',13,III,12,14,1,127926
888,1052,Oberhausen,130534,7.71048,48.22667,s',13,III,12,14,1,130534
893,1051,Niederhausen,131957,7.71317,48.23982,s',13,III,12,14,1,131957
963,1064,Hecklingen,130134,7.76731,48.16962,s',13,III,12,14,1,130134
967,1063,Kenzingen,131374,7.77005,48.19298,s',13,III,12,14,1,131374
973,1058,Herbolzheim a. d. Bleich,132885,7.77743,48.22249,s',13,III,12,14,1,132885
980,1054,Ringsheim,129699,7.78041,48.24632,s',13,III,12,14,1,129699
998,1059,Wagenstadt,131329,7.79647,48.20762,s',13,III,12,14,1,131329
1012,1057,Tutschfelden,133294,7.80659,48.21534,s',13,III,12,14,1,133294
1022,1061,Nordweil,130577,7.81384,48.19396,s',13,III,12,14,1,130577
1031,1062,Bombach,130317,7.81686,48.17869,s',13,III,12,14,1,130317
1035,1055,Ettenheimweiler,133763,7.82007,48.23676,s',13,III,12,14,1,133763
1048,1056,Broggingen,132120,7.82928,48.21892,s',13,III,12,14,1,132120
1051,1060,Bleichheim,127536,7.8306,48.20842,s',13,III,12,14,1,127536
1088,1021,Münchweier,130037,7.85884,48.24754,s',14,III,12,8,1,130037
1118,1066,Ettenheimmünster,132456,7.88015,48.24152,s',14,III,12,8,1,132456
1131,296,Freiamt-Mußbach (Mussbach),132700,7.88578,48.17377,s',14,III,12,8,1,132700
1142,1069,Ottoschwanden,132486,7.89687,48.18611,s',14,III,12,8,1,132486
1158,1070,Freiamt,133400,7.90612,48.17863,s',14,III,12,8,1,133400
1226,1067,Dörlinbach,132961,7.95383,48.24804,s',14,III,12,8,1,132961
1239,1068,Schweighausen,129890,7.96799,48.22021,s',14,III,12,8,1,129890
1266,1071,Oberspitzenbach,544447,7.98858,48.1762,s',14,III,12,8,1,544447
1320,"2093, 2094","Biederbach, Ober- und Unterbiederbach","131594, 131594",8.02694,48.2183,s',15,III,12,6,2,131594
1330,2095,Katzenmoos,544449,8.03332,48.167,s',15,III,12,6,1,544449
1379,2096,Elzach,130208,8.07142,48.17331,s',15,III,12,6,1,130208
1436,"2097, 2098","Unterprechtal, Oberprechtal","128449, 128449",8.12114,48.20548,s',15,III,12,6,2,128449
1512,2103,Rensberg,534787,8.1889,48.17741,s',16,III,12,5,1,534787
1546,2102,Niederwasser,132963,8.22818,48.18982,s',16,III,12,5,1,132963
1547,2100,Reichenbach,564234,8.22958,48.21343,s',16,III,12,5,1,564234
1548,2099,Hornberg,130447,8.23036,48.21193,s',16,III,12,5,1,130447
1584,2101,Schwanenbach (Reichenbach),544452,8.26562,48.1922,s',16,III,12,5,1,544452
141,243,Zell (Labaroche),24888,7.19258,48.11083,t',10,III,12,14,1,24888
199,233,Kaysersberg,33826,7.2617,48.13853,t',10,III,12,14,1,33826
212,238,Niedermorschweiher,29261,7.27596,48.09972,t',10,III,12,14,1,29261
216,236,Türkheim (Turckheim),25620,7.27884,48.0862,t',10,III,12,14,1,25620
227,244,Ammerschweier,33968,7.28484,48.12465,t',10,III,12,14,1,33968
228,237,Katzenthal,29793,7.28497,48.10796,t',10,III,12,14,1,29793
232,239,Kientzheim,28927,7.28695,48.13649,t',10,III,12,14,1,28927
246,234,Reichenweier (Riquewhir),34825,7.29975,48.16568,t',10,III,12,14,1,34825
260,241,Sigolsheim,31490,7.3035,48.13267,t',10,III,12,14,1,31490
266,242,Ingersheim,26048,7.30725,48.0936,t',10,III,12,14,1,26048
270,333,Logelbach,35799,7.30991,48.0865,t',10,III,12,14,1,35799
282,245,Mittelweier,36050,7.32094,48.14982,t',10,III,12,14,1,36050
283,235,Bebelnheim (Beblenheim),23091,7.32264,48.15802,t',10,III,12,14,1,23091
288,240,Bennweier,32768,7.32417,48.14496,t',10,III,12,14,1,32768
354,246,Ostheim,23926,7.37011,48.1551,t',11,III,12,15,1,23926
357,253,Hausen bei Kolmar (Houssen),24397,7.37665,48.125,t',11,III,12,15,1,24397
410,337,Weier auf dem Land (Wihr-en-Plaine),544443,7.41118,48.0844,t',11,III,12,15,1,544443
433,249,Holzweier,24321,7.42541,48.11028,t',11,III,12,15,1,24321
447,248,Bischweier,27202,7.43735,48.09944,t',11,III,12,15,1,27202
449,251,Wickerschweier,32202,7.43868,48.10708,t',11,III,12,15,1,32202
462,250,Riedweier,23630,7.44536,48.12387,t',11,III,12,15,1,23630
481,255,Fortschweier,25090,7.45233,48.08996,t',11,III,12,15,1,25090
516,"247, 312","Munzenheim (Muntzenheim), Munzenheim (Muntzenheim)","33922, 33922",7.47318,48.10199,t',11,III,12,15,2,33922
521,252,Jebsheim,26934,7.47771,48.12279,t',11,III,12,15,1,26934
539,341,Urschenheim,27678,7.48632,48.08696,t',11,III,12,15,1,27678
543,256,Grussenheim,36033,7.48794,48.1443,t',11,III,12,15,1,36033
559,254,Elsenheim,23948,7.50131,48.16133,t',11,III,12,15,1,23948
565,264,Dürrenenzen (Dürrenentzen),25196,7.50406,48.09192,t',11,III,12,15,1,25196
628,266,Arzenheim (Artzenheim),26388,7.5426,48.11609,t',12,III,12,12,1,26388
646,265,Balzenheim (Baltzenheim),26949,7.55624,48.09319,t',12,III,12,12,1,26949
716,260,Burkheim am Kaiserstuhl,133742,7.59943,48.10194,t',12,III,12,12,1,133742
731,270,Jechtingen am Kaierstuhl,131995,7.60965,48.11815,t',12,III,12,12,1,131995
736,268,Sasbach,132742,7.61363,48.13798,t',12,III,12,12,1,132742
755,262,Bischoffingen,127778,7.62537,48.10625,t',12,III,12,12,1,127778
773,269,Oberrotweil,127679,7.63551,48.08944,t',12,III,12,12,1,127679
775,259,Leiselheim,133944,7.6357,48.12586,t',12,III,12,12,1,133944
799,263,Wyhl am Kaiserstuhl,128579,7.64933,48.1663,t',12,III,12,12,1,128579
805,258,Kiechlinsbergen,130822,7.65306,48.12469,t',12,III,12,12,1,130822
808,267,Königschaffhausen am Kaiserstuhl,130242,7.65562,48.13337,t',12,III,12,12,1,130242
810,261,Oberbergen,131626,7.65599,48.09787,t',12,III,12,12,1,131626
839,282,Amoltern,130846,7.67629,48.12873,t',13,III,12,15,1,130846
851,276,Schelingen am Kaiserstuhl,133269,7.68308,48.10435,t',13,III,12,15,1,133269
878,279,Forchheim,132830,7.7031,48.16341,t',13,III,12,15,1,132830
879,271,Endingen,127953,7.70312,48.1419,t',13,III,12,15,1,127953
929,280,Bahlingen,132837,7.73937,48.12209,t',13,III,12,15,1,132837
938,277,Eichstetten,133629,7.74563,48.09417,t',13,III,12,15,1,133629
943,272,Riegel,129031,7.7507,48.15056,t',13,III,12,15,1,129031
975,273,Nimburg,132950,7.77794,48.10762,t',13,III,12,15,1,132950
985,274,Bottingen,133252,7.78356,48.09119,t',13,III,12,15,1,133252
995,275,Malterdingen,131337,7.79392,48.16302,t',13,III,12,15,1,131337
1008,281,Teningen,127380,7.80344,48.12897,t',13,III,12,15,1,127380
1011,278,Köndringen,131747,7.80591,48.13912,t',13,III,12,15,1,131747
1049,1065,Heimbach,131884,7.82936,48.1638,t',13,III,12,15,1,131884
1056,290,Mundingen,128932,7.8346,48.13735,t',13,III,12,15,1,128932
1069,292,Landeck,129592,7.84077,48.14954,t',13,III,12,15,1,129592
1074,283,Emmendingen,132680,7.84951,48.1209,t',14,III,12,14,1,132680
1083,285,Wasser,129478,7.8564,48.09846,t',14,III,12,14,1,129478
1113,294,Kollmarsreute,133893,7.87829,48.10253,t',14,III,12,14,1,133893
1129,291,Maleck,134007,7.88416,48.12924,t',14,III,12,14,1,134007
1132,286,Windenreuthe (Emmendingen),534785,7.88675,48.11814,t',14,III,12,14,1,534785
1162,289,Sexau,134047,7.90788,48.10424,t',14,III,12,14,1,134047
1185,297,Keppenbach,131280,7.92037,48.14437,t',14,III,12,14,1,131280
1194,295,Freiamt-Reichenbach,130264,7.92477,48.15747,t',14,III,12,14,1,130264
1232,284,Waldkirch,133343,7.96049,48.09361,t',14,III,12,14,1,133343
1243,293,Kollnau,131917,7.9721,48.10586,t',14,III,12,14,1,131917
1249,288,Siegelau,130835,7.97753,48.14612,t',14,III,12,14,1,130835
1262,298,Gutach,129377,7.98722,48.11814,t',14,III,12,14,1,129377
1263,287,Siensbach,130707,7.98804,48.10755,t',14,III,12,14,1,130707
1279,2108,Bleibach,130632,8.00281,48.12764,t',14,III,12,14,1,130632
1315,2107,Niederwinden,129519,8.02152,48.14244,t',15,III,12,5,1,129519
1339,2106,Oberwinden,129987,8.04318,48.15444,t',15,III,12,5,1,129987
1347,2109,Simonswald,133420,8.04838,48.10278,t',15,III,12,5,1,133420
1405,2111,Yach,129888,8.0932,48.15752,t',15,III,12,5,1,129888
1480,2110,Rohrhardsberg,544444,8.16036,48.1327,t',15,III,12,5,1,544444
1524,2114,Schonach,131202,8.20179,48.14296,t',16,III,12,9,1,131202
1527,2119,Schönwald,134176,8.20401,48.10371,t',16,III,12,9,1,134176
1549,2115,Triberg,131350,8.2316,48.13032,t',16,III,12,9,1,131350
1574,2113,Gremmelsbach,130325,8.25756,48.15793,t',16,III,12,9,1,130325
1577,2116,Nussbach,127316,8.25836,48.13097,t',16,III,12,9,1,127316
1615,2117,Brigach (und Sommerau),131012,8.3086,48.11587,t',16,III,12,9,1,131012
1622,2112,Langenschiltach,130097,8.3168,48.16202,t',16,III,12,9,1,130097
1626,2118,Oberkirnach,534786,8.31901,48.09369,t',16,III,12,9,1,534786
1635,2122,St. Georgen,131902,8.33183,48.12564,t',16,III,12,9,1,131902
25,387,Mittlach,31738,7.03325,48.00405,u',9,III,13,15,1,31738
45,302,Metzeral,31509,7.07146,48.01325,u',9,III,13,15,1,31509
58,309,Mühlbach (Muhlbach-Sur-Munster),35983,7.08731,48.02582,u',9,III,13,15,1,35983
66,306,Breitenbach (Breitenbach-Haut-Rhin),31930,7.10087,48.02382,u',9,III,13,15,1,31930
67,308,Stossweier,26289,7.10163,48.05432,u',9,III,13,15,1,26289
68,301,Sulzern (Soultzeren),31597,7.10254,48.06373,u',9,III,13,15,1,31597
79,305,Luttenbach (Luttenbach-Près-Munster),32991,7.11745,48.03105,u',9,III,13,15,1,32991
85,304,Hohrod,23841,7.12607,48.05444,u',9,III,13,15,1,23841
89,"299, 300","Münster (Munster), Münster (Munster)","25864, 25864",7.13185,48.0418,u',9,III,13,15,2,25864
94,307,Hohrodberg,31690,7.13528,48.06037,u',9,III,13,15,1,31690
98,303,Eschbach,27529,7.14594,48.02896,u',9,III,13,15,1,27529
112,385,Wasserburg Kreis Colmar (Wasserbourg),35637,7.15948,48.00283,u',9,III,13,15,1,35637
120,310,Griesbach (Griesbach-Au-Val),36133,7.17071,48.03351,u',9,III,13,15,1,36133
121,311,Günsbach (Gunsbach),26334,7.17323,48.0464,u',9,III,13,15,1,26334
146,320,Sulzbach (Soultzbach-Les-Bains),29940,7.20324,48.03797,u',10,III,13,12,1,29940
148,318,Weier (Wihr-Au-Val),29194,7.20558,48.05217,u',10,III,13,12,1,29194
166,317,Walbach,31519,7.22416,48.06257,u',10,III,13,12,1,31519
178,324,Zimmerbach,28126,7.23755,48.07261,u',10,III,13,12,1,28126
213,314,Geberschweiher (Gueberschwihr),27391,7.27661,48.00444,u',10,III,13,12,1,27391
218,316,Häusern,28014,7.28067,48.03226,u',10,III,13,12,1,28014
226,322,Vöklinshofen (Voegtlinshoffen),32350,7.28224,48.01954,u',10,III,13,12,1,32350
247,315,Hattstatt,25389,7.30016,48.0108,u',10,III,13,12,1,25389
248,321,Obermorschweier,23414,7.30037,48.01773,u',10,III,13,12,1,23414
264,323,Egisheim,30737,7.30455,48.04168,u',10,III,13,12,1,30737
265,313,Wettolsheim,33220,7.30629,48.06133,u',10,III,13,12,1,33220
293,319,Herlisheim (Herrlisheim),24658,7.32932,48.01677,u',10,III,13,12,1,24658
339,"325, 326, 327, 328, 329, 330","Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar, Kolmar, Kolmar, Kolmar","31694, 31694, 31694, 31694, 31694, 31694",7.36359,48.08198,u',11,III,13,15,6,31694
372,332,Heiligkreuz (Sainte-Croix-en-Plaine),29079,7.3831,48.00666,u',11,III,13,15,1,29079
383,335,Horburg (Horboug),35626,7.3934,48.08116,u',11,III,13,15,1,35626
409,336,Logelnheim (Logelheim),25545,7.40918,48.0211,u',11,III,13,15,1,25545
416,331,Sundhofen (Sundhoffen),31926,7.41499,48.04248,u',11,III,13,15,1,31926
417,338,Andolsheim,36199,7.41512,48.06763,u',11,III,13,15,1,36199
451,339,Appenweier (Appenwihr),24716,7.43962,48.02594,u',11,III,13,15,1,24716
488,340,Hettenschlag,28727,7.45782,48.00441,u',11,III,13,15,1,28727
528,334,Widensolen,30556,7.47996,48.06278,u',11,III,13,15,1,30556
561,352,Wolfganzen,36055,7.5016,48.02747,u',11,III,13,15,1,36055
577,354,Umgebung von Neubreisach (Weckolsheim),30355,7.51347,48.00264,u',12,III,13,12,1,30355
604,347,Neubreisach (Neuf-Brisach),35499,7.52909,48.01843,u',12,III,13,12,1,35499
612,348,Künheim (Kunheim),33495,7.53422,48.07788,u',12,III,13,12,1,33495
631,351,Biesheim,31807,7.54467,48.04048,u',12,III,13,12,1,31807
643,349,Volgelsheim,29300,7.55292,48.01693,u',12,III,13,12,1,29300
648,353,Algolsheim,30240,7.55708,48.00563,u',12,III,13,12,1,30240
675,350,Vogelgrün (Vogelgrun),23207,7.57243,48.0111,u',12,III,13,12,1,23207
701,342,Breisach,132807,7.59332,48.04535,u',12,III,13,12,1,132807
754,345,Achkarren,131231,7.62448,48.06769,u',12,III,13,12,1,131231
784,343,Gündlingen,133572,7.64227,48.01556,u',12,III,13,12,1,133572
786,346,Bickensohl,128149,7.64262,48.07988,u',12,III,13,12,1,128149
794,344,Ihringen,127937,7.64554,48.04572,u',12,III,13,12,1,127937
850,368,Wasenweiler,129825,7.6813,48.05162,u',13,III,13,15,1,129825
858,358,Merdingen,134143,7.68864,48.0173,u',13,III,13,15,1,134143
900,436,Opfingen,130109,7.71585,48.00052,u',13,III,13,15,1,130109
905,367,Waltershofen,129815,7.71857,48.02338,u',13,III,13,15,1,129815
911,366,Bötzingen,130411,7.72593,48.07743,u',13,III,13,15,1,130411
913,362,Gottenheim,131858,7.72686,48.04969,u',13,III,13,15,1,131858
958,357,Umkirch,131293,7.7624,48.03183,u',13,III,13,15,1,131293
966,359,Neuershausen,128117,7.76972,48.0689,u',13,III,13,15,1,128117
976,365,Buchheim,132232,7.77912,48.06092,u',13,III,13,15,1,132232
981,363,Hugstetten,131320,7.78045,48.05415,u',13,III,13,15,1,131320
1004,361,Holzhausen,133022,7.79978,48.07044,u',13,III,13,15,1,133022
1006,364,Lehen,127894,7.80072,48.01663,u',13,III,13,15,1,127894
1007,360,Hochdorf,130678,7.80212,48.0489,u',13,III,13,15,1,130678
1027,355,Betzenhausen,130929,7.81511,48.00987,u',13,III,13,15,1,130929
1042,356,Reute,133080,7.82538,48.08175,u',13,III,13,15,1,133080
1076,376,Vörstetten,130909,7.85113,48.06391,u',14,III,13,13,1,130909
1095,369,Zähringen,133816,7.86149,48.02593,u',14,III,13,13,1,133816
1105,374,Gundelfingen,129401,7.87313,48.04353,u',14,III,13,13,1,129401
1106,370,Wöldtal (Wildtal),132824,7.87337,48.0328,u',14,III,13,13,1,132824
1116,377,Denzlingen,129896,7.87987,48.06793,u',14,III,13,13,1,129896
1150,380,Heuweiler,132866,7.9028,48.0513,u',14,III,13,13,1,132866
1165,379,Buchholz i.Br.,133342,7.91201,48.08253,u',14,III,13,13,1,133342
1192,371,Föhrental (Föhrenthal),544367,7.92468,48.0349,u',14,III,13,13,1,544367
1193,378,Suggental,133932,7.92471,48.07551,u',14,III,13,13,1,133932
1207,446,Wittental,535431,7.94267,48.00437,u',14,III,13,13,1,535431
1218,372,Unterglottertal-Ohrensbach,127790,7.95,48.04291,u',14,III,13,13,1,127790
1235,373,Oberglottertal,128870,7.96407,48.04803,u',14,III,13,13,1,128870
1255,375,Eschbach über Freiburg i.Br.,134060,7.98047,48.00263,u',14,III,13,13,1,134060
1331,2137,St. Peter-Sägendobel,129136,8.03377,48.03722,u',15,III,13,9,1,129136
1332,2138,St. Peter,128288,8.03492,48.01587,u',15,III,13,9,1,128288
1403,"2139, 2171","St. Märgen, St. Märgen-Schweighöfe","131479, 131479",8.09239,48.00756,u',15,III,13,9,2,131479
1406,2143,Obersimonswald,129766,8.09331,48.0797,u',15,III,13,9,1,129766
1434,2141,Wildgutach,133146,8.11606,48.0323,u',15,III,13,9,1,133146
1455,2140,(Alt)Glashütte,133919,8.13564,48.0008,u',15,III,13,9,1,133919
1459,2142,Gütenbach,131701,8.13807,48.04398,u',15,III,13,9,1,131701
1499,2148,Neukirch,131308,8.17383,48.02447,u',15,III,13,9,1,131308
1528,2149,Furtwangen (und Furtwangen-Katzensteig),133123,8.20648,48.05227,u',16,III,13,6,1,133123
1551,2150,Schönenbach,132650,8.23618,48.04705,u',16,III,13,6,1,132650
1570,2146,Urach,127331,8.25368,48.00477,u',16,III,13,6,1,127331
1575,2144,Rohrbach,129353,8.25784,48.07437,u',16,III,13,6,1,129353
1586,2147,Linach,535434,8.26602,48.02831,u',16,III,13,6,1,535434
1611,2145,Vöhrenbach,133546,8.30495,48.04519,u',16,III,13,6,1,133546
7,382,"Wildenstein bei Krüt, Kreis Tann",26770,6.96296,47.98143,v',8,III,13,2,1,26770
8,381,Krüt (Kruth),24258,6.96629,47.92912,v',8,III,13,2,1,24258
47,386,Sondernach,26835,7.07276,47.99621,v',9,III,13,6,1,26835
83,390,Sengern,29962,7.12209,47.94246,v',9,III,13,6,1,29962
87,383,"Lintal (Linthal, Kreis Tann)",36124,7.12943,47.94619,v',9,III,13,6,1,36124
100,389,Lautenbachzell,32214,7.14925,47.94057,v',9,III,13,6,1,32214
111,384,Lautenbach (Kreis Tann),24040,7.15877,47.9414,v',9,III,13,6,1,24040
115,388,Murbach,35511,7.1604,47.92318,v',9,III,13,6,1,35511
126,396,Schweighausen Kreis Gebweiler (Schweighouse bei Lautenbach),27262,7.17716,47.93851,v',10,III,13,13,1,27262
136,401,Bühl Landkreis Gebweiler (Buhl),35368,7.18638,47.92816,v',10,III,13,13,1,35368
144,394,Winzfelden (Wintzfelden),24906,7.19806,47.97442,v',10,III,13,13,1,24906
161,392,Osenbach,33978,7.21903,47.98623,v',10,III,13,13,1,33978
172,398,Orschweier (Orschwihr),27044,7.23248,47.9323,v',10,III,13,13,1,27044
174,"399, 400","Sulzmatt (Soultzmatt), Sulzmatt (Soultzmatt)","33692, 33692",7.23437,47.96595,v',10,III,13,13,2,33692
176,397,"Bergholzzell, Orschweier (Bergholtzzell, Orschwihr)",25258,7.23501,47.9292,v',10,III,13,13,1,25258
197,393,Westhalten,30293,7.2595,47.95742,v',10,III,13,13,1,30293
236,"402, 403","Pfaffenheim, Pfaffenheim","29901, 29901",7.2903,47.98827,v',10,III,13,13,2,29901
241,395,Gundolsheim,32876,7.2942,47.92837,v',10,III,13,13,1,32876
244,391,Rufach (Rouffach),24305,7.29696,47.95968,v',10,III,13,13,1,24305
360,"406, 409","Oberenzen (Oberentzen), Oberenzen","23927, 23927",7.37872,47.94354,v',11,III,13,9,2,23927
369,407,Niederenzen,24491,7.38146,47.94864,v',11,III,13,9,1,24491
378,405,Bilzheim (Biltzheim),30645,7.38657,47.95675,v',11,III,13,9,1,30645
388,"411, 412","Oberhergheim, Oberhergheim","23993, 23993",7.39442,47.96547,v',11,III,13,9,2,23993
394,408,Niederhergheim,32624,7.39795,47.9862,v',11,III,13,9,1,32624
496,410,Rüstenhart (Rustenhart),31010,7.46359,47.94159,v',11,III,13,9,1,31010
544,404,Dessenheim,33769,7.48828,47.97561,v',11,III,13,9,1,33769
619,413,Heiteren,23675,7.53776,47.96942,v',12,III,13,11,1,23675
621,420,Balgau,24808,7.53917,47.9288,v',12,III,13,11,1,24808
650,417,Obersaasheim,31721,7.55885,47.98979,v',12,III,13,11,1,31721
656,419,Nambsheim,32259,7.5622,47.9336,v',12,III,13,11,1,32259
718,418,Geiswasser,27005,7.60042,47.97883,v',12,III,13,11,1,27005
752,654,Bremgarten (Hartheim),130873,7.62385,47.91694,v',12,III,13,11,1,130873
760,416,Hartheim,132915,7.62702,47.93691,v',12,III,13,11,1,132915
800,415,Feldkirch,133429,7.64962,47.93629,v',12,III,13,11,1,133429
816,414,Oberrimsingen,133525,7.6594,47.97942,v',12,III,13,11,1,133525
832,439,Niederrimsingen,133562,7.67114,47.98702,v',12,III,13,11,1,133562
836,443,Schlatt,127348,7.67473,47.92531,v',12,III,13,11,1,127348
860,"421, 422","Biengen, Biengen","129753, 129753",7.68958,47.93875,v',13,III,13,21,2,129753
871,437,Munzingen,127997,7.69883,47.96873,v',13,III,13,21,1,127997
881,667,Bad Krozingen,134102,7.70333,47.91813,v',13,III,13,21,1,134102
891,424,Offnadingen,130094,7.71217,47.93434,v',13,III,13,21,1,130094
894,438,Mengen,131036,7.71392,47.95851,v',13,III,13,21,1,131036
901,435,Tiengen,130706,7.71599,47.98216,v',13,III,13,21,1,130706
912,426,Norsingen,129277,7.72683,47.93837,v',13,III,13,21,1,129277
935,425,Kirchhofen,129318,7.74356,47.91979,v',13,III,13,21,1,129318
947,427,Pfaffenweiler,131444,7.75445,47.94133,v',13,III,13,21,1,131444
957,428,Wolfenweiler,535392,7.76194,47.96231,v',13,III,13,21,1,535392
959,429,Schallstadt,132118,7.76422,47.959,v',13,III,13,21,1,132118
977,"440, 441","Bollschweil, Bollschweil","130029, 130029",7.77924,47.91994,v',13,III,13,21,2,130029
979,430,Ebringen,132781,7.77981,47.95761,v',13,III,13,21,1,132781
1010,433,St. Georgen,128538,7.8056,47.97934,v',13,III,13,21,1,128538
1015,442,Sölden,130290,7.80967,47.93307,v',13,III,13,21,1,130290
1024,423,Wittnau,133378,7.814,47.94661,v',13,III,13,21,1,133378
1037,434,Haslach,127751,7.82166,47.9895,v',13,III,13,21,1,127751
1041,432,Merzhausen,131056,7.82532,47.96635,v',13,III,13,21,1,131056
1050,431,Au,129527,7.82976,47.95687,v',13,III,13,21,1,129527
1089,452,Horben,129095,7.85911,47.93223,v',14,III,13,13,1,129095
1151,445,Ebnet,134154,7.90282,47.98715,v',14,III,13,13,1,134154
1152,444,Littenweiler,127530,7.90338,47.97778,v',14,III,13,13,1,127530
1164,453,Kappel,128554,7.90831,47.96423,v',14,III,13,13,1,128554
1211,451,Oberried,128022,7.94506,47.93146,v',14,III,13,13,1,128022
1219,448,Zarten,128320,7.95028,47.97747,v',14,III,13,13,1,128320
1224,450,Kirchzarten,131003,7.95261,47.96345,v',14,III,13,13,1,131003
1233,447,Stegen,132072,7.96093,47.98418,v',14,III,13,13,1,132072
1236,677,Zastler,129997,7.965,47.93356,v',14,III,13,13,1,129997
1252,449,Burg am Wald,127853,7.97957,47.97091,v',14,III,13,13,1,127853
1275,2175,Falkensteig,132581,7.99689,47.94697,v',14,III,13,13,1,132581
1287,2173,Unteribental,132800,8.00642,47.97982,v',14,III,13,13,1,132800
1292,2174,Buchenbach,127372,8.00773,47.96134,v',14,III,13,13,1,127372
1343,2172,Wagensteig,133969,8.04607,47.98466,v',15,III,13,4,1,133969
1382,2176,Breitnau,127654,8.07603,47.94014,v',15,III,13,4,1,127654
1460,2177,(Breitnau-)Eckbach,546037,8.13811,47.9479,v',15,III,13,4,1,546037
1485,2178,Waldau,132801,8.16331,47.98172,v',15,III,13,4,1,132801
1552,2185,Rudenberg,546036,8.23807,47.9196,v',16,III,13,7,1,546036
1555,2186,Schwärzenbach,546033,8.23987,47.948,v',16,III,13,7,1,546033
1562,2179,Schollach,1350510,8.24463,47.98628,v',16,III,13,7,1,1350510
1589,2181,Eisenbach,128230,8.26837,47.96084,v',16,III,13,7,1,128230
1601,2183,Oberbränd,134217,8.2909,47.94957,v',16,III,13,7,1,134217
1606,2182,Bubenbach,132880,8.29595,47.96531,v',16,III,13,7,1,132880
1624,2180,Hammereisenbach,132811,8.31732,47.99481,v',16,III,13,7,1,132811
5,458,"Urbis, St. Amarintal (Urbès)",27759,6.95521,47.88255,w',8,III,14,6,1,27759
10,457,Mollau,29697,6.97488,47.87245,w',8,III,14,6,1,29697
11,454,Oderen,27762,6.97525,47.91008,w',8,III,14,6,1,27762
14,455,Fellerlingen (Fellering),27851,6.98613,47.89621,w',8,III,14,6,1,27851
15,456,Hüsseren-Wesserling (Husseren-Wesserling),26033,6.98836,47.88519,w',8,III,14,6,1,26033
18,460,Mitzach,33722,7.00519,47.87122,w',8,III,14,6,1,33722
19,459,Ranspach,31293,7.01113,47.88081,w',9,III,14,8,1,31293
24,463,St. Amarin,26613,7.03186,47.87365,w',9,III,14,8,1,26613
26,461,Malmerspach,26966,7.03487,47.86486,w',9,III,14,8,1,26966
30,464,Moosch,23119,7.04865,47.86081,w',9,III,14,8,1,23119
36,467,Geishausen,28259,7.05832,47.88017,w',9,III,14,8,1,28259
43,462,Weiler,23554,7.07073,47.84351,w',9,III,14,8,1,23554
69,465,Goldbach-Altenbach,26512,7.10326,47.87359,w',9,III,14,8,1,26512
108,466,Rimbach bei Gebweiler (Rimbach-près-Guebwiller),32998,7.15658,47.90483,w',9,III,14,8,1,32998
127,708,Wattweiler (Wattwiller),35824,7.17766,47.83549,w',10,III,14,18,1,35824
134,"468, 469","Rimbach-Zell (Rimbachzell), Rimbach-Zell (Rimbachzell)","32936, 32936",7.17995,47.8995,w',10,III,14,18,2,32936
150,472,Wünheim,35767,7.20969,47.87406,w',10,III,14,18,1,35767
151,"470, 483, 473, 482, 481","Gebweiler (Guebwiller), Gebweiler (Guebwiller), Gebweiler (Guebwiller), Gebweiler (Guebwiller), Gebweiler (Guebwiller)","23410, 23410, 23410, 23410, 23410",7.21078,47.9095,w',10,III,14,18,5,23410
158,474,Berrweiler (Berrwiller),25352,7.21533,47.8484,w',10,III,14,18,1,25352
169,471,Sulz (Soultz-Haut-Rhin),24515,7.22862,47.88613,w',10,III,14,18,1,24515
190,479,Isenheim (Issenheim),31733,7.25365,47.90288,w',10,III,14,18,1,31733
198,476,Bollweiler (Bollwiller),34087,7.25961,47.86006,w',10,III,14,18,1,34087
211,484,Feldkirch,33031,7.27197,47.86504,w',10,III,14,18,1,33031
225,478,Rädersheim (Raedersheim),29829,7.28212,47.88747,w',10,III,14,18,1,29829
238,480,Merxheim,26333,7.29205,47.91022,w',10,III,14,18,1,26333
255,475,Pulversheim,25873,7.30181,47.83432,w',10,III,14,18,1,25873
263,477,Ungersheim,28504,7.30418,47.87789,w',10,III,14,18,1,28504
320,490,Regisheim (Réguisheim),24240,7.35308,47.89742,w',11,III,14,6,1,24240
322,485,Ensisheim,31828,7.35432,47.86522,w',11,III,14,6,1,31828
330,489,Meienheim (Meyenheim),29591,7.35924,47.91132,w',11,III,14,6,1,29591
469,488,Hirzfelden,31674,7.4473,47.90935,w',11,III,14,6,1,31674
485,486,Münchhausen (Munchhausen),24319,7.45274,47.86847,w',11,III,14,6,1,24319
