"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"614","FS","t'",37,"3","XXI_03_0094","Zorneding","999","Ebersberg","Gau Oberbayern","III_52"
"615","FS","t'",39,"3","XXI_03_0095","Albaching","999","Wasserburg","Oberbayern","III_52"
"616","FS","t'",42,"3","XXI_03_0096","Unterneukirchen","999","Altötting  ","M[un]chen-Oberbayern","III_52"
"617","FS","u'",31,"8","XXI_03_0097","Unterigling, Oberigling {auf seite 1 nur Oberigling}","999","Landsberg a/Lech","Ob[le].","III_53"
"618","FS","u'",33,"6","XXI_03_0098","Inning","999","Starnberg","[Munch]. Oberb.","III_53"
"619","FS","v'",26,"2","XXI_03_0099","Unter-Schwarzach {auf seite 4 Unterschwarzach}","999","Biberach/Riß","Württemberg","III_34"
"620","FS","v'",33,"1","XXI_03_0100","Mitterfischen","999","Weilheim","Oberbayern","III_53"
"621","FS","v'",36,"4","XXI_03_0101","Endelhausen","999","Wolfratshausen","Oberbayern","III_53"
"622","FS","v'",41,"2","XXI_03_0102","Seebruck","999","Traunstein","Oberbayern","III_53"
"623","FS","w'",24,"3","XXI_03_0103","Ebenweiler","999","Saulgau","Württemberg","III_35"
"624","FS","w'",27,"1","XXI_03_0104","Niederhofen","999","Wangen","Allgäu Gau Württbg","III_35"
"625","FS","w'",30,"4","XXI_03_0105","Eggenthal","999","Kaufbeuren","Schwaben","III_54"
"626","FS","w'",32,"1","XXI_03_0106","Denklingen","999","Kaufbeuren","Schwaben","III_54"
"627","FS","w'",38,"4","XXI_03_0107","Feldkirchen","b. Westerham","Kreis Aibling","Obby.","III_54"
"628","FS","w'",40,"3","XXI_03_0108","Stephanskirchen","999","Rosenheim","Oberbayern","III_54"
"629","FS","w'",43,"9","XXI_03_0109","Petting","999","Laufen","Oberbayern","VI_8"
